"PartNo","SupplierPartNo","Manufacturer","Model","StockLevel","Cost","RRP","Description","Image","Product Category"
"AG22-0722","AG22-0722","AGENT","agent AU50 Professional Monaural USB/3.5mm Headset","873.00","36.75","52.50","","https://www.corpteluk.com/product/image/large/ag22-0722_0.jpeg","Corded Headsets"
"AG22-0723","AG22-0723","AGENT","agent AU60 Professional Binaural USB/3.5mm Headset","2687.00","42.00","60.00","","https://www.corpteluk.com/product/image/large/ag22-0723_0.jpeg","Corded Headsets"
"AG22-0730","AG22-0730","AGENT","agent AW Series Spare Battery","0.00","8.67","10.83","","","Wireless Headsets"
"AG22-0731","AG22-0731","AGENT","agent AW Spare Monaural Headset (only) w/Battery & Leatherette Cushion","5.00","53.33","66.67","","","Wireless Headsets"
"AG22-0732","AG22-0732","AGENT","agent AW Spare Binaural Headset (only) w/Battery & Leatherette Cushions","9.00","62.67","78.33","","","Wireless Headsets"
"AG22-0733","AG22-0733","AGENT","agent AW Series Spare Base - 2 Button","1.00","57.33","71.67","","","Wireless Headsets"
"AG22-0734","AG22-0734","AGENT","agent AW Series Spare Base - 3 Button","0.00","73.33","91.67","","","Wireless Headsets"
"AG22-0735","AG22-0735","AGENT","agent AW/AU Series Leatherette Earpad - Single","0.00","1.40","1.75","","","Headset Accessories"
"AG22-0736","AG22-0736","AGENT","agent AW/AU Series Foam Earpad - Single","0.00","1.01","1.27","","","Headset Accessories"
"AG22-0737","AG22-0737","AGENT","agent AW Series USB Connection Cord (Micro USB - USB)","9.00","2.27","2.83","","","Wireless Headsets"
"AG22-0738","AG22-0738","AGENT","agent Connection Cord - RJ11","17.00","1.60","2.00","","","Headset Accessories"
